Name,SMILES,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount
TND,O=C1C2=CC=CC3=C2C(=CC=C3)C4=NN=C([NH]4)C5=CC=CC6=C5C1=CC=C6,347.37700000000007,4.930900000000002,58.64,1,3,0,6
TND-1,COC1=CC2=C3C(=CC=C2)C4=NN=C([NH]4)C5=CC=CC6=C5C(=CC(=C6)OC)C(=O)C3=C1,407.42900000000026,4.948100000000003,77.1,1,5,2,6
TND-2,CC1=CC2=C3C(=C1)C(=O)C4=CC(=CC5=C4C(=CC=C5)C6=NN=C([NH]6)C3=CC=C2)CO,391.43000000000006,4.731620000000004,78.87,2,4,1,6
TND-3,COC1=CC2=C3C(=CC(=C2)C)C(=O)C4=CC=CC5=C4C(=CC=C5)C6=NN=C([NH]6)C3=C1,391.43000000000006,5.247920000000003,67.87,1,4,1,6
TND-4,COC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)OC)C6=NN=C([NH]6)C3=C1,407.42900000000014,4.948100000000003,77.1,1,5,2,6
TND-5,CC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)CO)C6=NN=C([NH]6)C3=C1,391.43000000000006,4.731620000000004,78.87,2,4,1,6
TND-6,C[N]1C2=NN=C1C3=CC(=CC4=C3C(=CC=C4)C(=O)C5=CC=CC6=C5C2=CC(=C6)C)CO,405.45700000000016,4.742020000000004,68.01,1,5,1,6
TND-7,O=C1c2cccc3cc(C)c(CO)c(c4nnc([NH]4)c4cccc5cccc1c45)c23,391.4300000000001,4.731620000000002,78.87,2,4,1,6
TND-8,CC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)OC6=CC=CC=C6)C7=NN=C([NH]7)C3=C1,453.5010000000001,7.031620000000003,67.87,1,4,2,7
TND-9,CCOC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)CC)C6=NN=C([NH]6)C3=C1,419.48400000000015,5.892000000000004,67.87,1,4,3,6
TND-10,CCOC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)OC)C6=NN=C([NH]6)C3=C1,421.45600000000013,5.338200000000003,77.1,1,5,3,6
TND-11,O=C1c2cccc3cccc(c4nnc(n4N)c4cccc5cccc1c45)c23,362.3920000000001,4.118100000000002,73.8,1,5,0,6
TND-12,O=C1c2cccc3cccc(c4[NH]c(n[n+]4N)c4cccc5cccc1c45)c23,363.4000000000001,3.5372000000000012,75.65,2,3,0,6
TND-13,On1c2nnc1c1cccc3cccc(C(=O)c4cccc5cccc2c45)c13,363.3760000000001,4.641600000000002,68.00999999999999,1,5,0,6
TND-14,O=C1c2cccc3cccc(c4nnc(n4F)c4cccc5cccc1c45)c23,365.3670000000001,5.136900000000003,47.78,0,4,0,6
TND-15,O=C1c2cccc3cccc(c4nnc(n4OC)c4cccc5cccc1c45)c23,377.4030000000001,4.4627000000000026,57.010000000000005,0,5,1,6
