ID,SMILES,pred_pIC50,pred_IC50_nM
TND,O=C1C2=CC=CC3=C2C(=CC=C3)C4=NN=C([NH]4)C5=CC=CC6=C5C1=CC=C6,6.752294830112883,176.8907689729809
TND-1,COC1=CC2=C3C(=CC=C2)C4=NN=C([NH]4)C5=CC=CC6=C5C(=CC(=C6)OC)C(=O)C3=C1,6.821272250683995,150.91338112165232
TND-2,CC1=CC2=C3C(=C1)C(=O)C4=CC(=CC5=C4C(=CC=C5)C6=NN=C([NH]6)C3=CC=C2)CO,7.163344405653817,68.65237947025884
TND-3,COC1=CC2=C3C(=CC(=C2)C)C(=O)C4=CC=CC5=C4C(=CC=C5)C6=NN=C([NH]6)C3=C1,7.15075785146535,70.6711483861878
TND-4,COC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)OC)C6=NN=C([NH]6)C3=C1,7.003127564461659,99.28243852395657
TND-5,CC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)CO)C6=NN=C([NH]6)C3=C1,7.406287674763027,39.23849352347848
TND-6,CN1C2=NN=C1C3=CC(=CC4=C3C(=CC=C4)C(=O)C5=CC=CC6=C5C2=CC(=C6)C)CO,7.243886464412088,57.03133471615965
TND-7,O=C1c2cccc3cc(C)c(CO)c(c4nnc([NH]4)c4cccc5cccc1c45)c23,6.977061704091998,105.42371008788595
TND-8,CC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)OC6=CC=CC=C6)C7=NN=C([NH]7)C3=C1,6.794776076413851,160.40722421471517
TND-9,CCOC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)CC)C6=NN=C([NH]6)C3=C1,7.526196249731935,29.77170796396337
TND-10,CCOC1=CC2=C3C(=CC=C2)C(=O)C4=CC=CC5=C4C(=CC(=C5)OC)C6=NN=C([NH]6)C3=C1,7.206136281937798,62.210503750374414
TND-11,O=C1c2cccc3cccc(c4nnc(n4N)c4cccc5cccc1c45)c23,6.884158044652377,130.5695644315927
TND-12,O=C1c2cccc3cccc(c4[NH]c(n[n+]4N)c4cccc5cccc1c45)c23,7.158891680682638,69.35987779993903
TND-13,On1c2nnc1c1cccc3cccc(C(=O)c4cccc5cccc2c45)c13,7.104379419281505,78.63584912044647
TND-14,O=C1c2cccc3cccc(c4nnc(n4F)c4cccc5cccc1c45)c23,6.919685844434305,120.31344311749817
TND-15,O=C1c2cccc3cccc(c4nnc(n4OC)c4cccc5cccc1c45)c23,7.415662535884863,38.40055171787658
